name,ra,dec,spect_type,vmag
HIP 70638,216.7322531,-83.66785308,K2III, 4.31
HIP 112405,341.5155139,-81.38161731,A9IV/V, 4.13
HIP 69896,214.5582105,-81.00760147,A2m..., 4.89
HIP 52633,161.446399,-80.54020283,B2.5IV, 4.45
HIP 60000,184.5872663,-79.31226899,B5Vn, 4.24
HIP 72370,221.9655257,-79.04471242,K5III, 3.83
HIP 81065,248.3644341,-78.89695917,K0IV SB, 3.86
HIP 80047,245.0868128,-78.69565609,M5III, 4.68
HIP 51839,158.8675767,-78.60781379,M0III, 4.11
HIP 58484,179.9070471,-78.22181833,B9Vn, 4.88
HIP 81852,250.7725818,-77.51657182,K0III, 4.23
HIP 40888,125.162033,-77.4845764,K0III-IV, 4.34
HIP 107089,325.368638,-77.38946215,K0III, 3.73
HIP 2021,6.41334183,-77.25503511,G2IV, 2.82
HIP 122,0.39937928,-77.06529438,K2III, 4.78
HIP 40702,124.6302785,-76.91998251,F5III, 4.05
HIP 13244,42.6189035,-75.06688108,K3III, 4.76
HIP 17678,56.80929799,-74.23924251,M2III, 3.26
HIP 50954,156.0989187,-74.03154474,F2IV, 3.99
HIP 51495,157.758644,-73.2215089,K4/K5III, 4.94
HIP 98495,300.1474723,-72.91018443,A0V, 3.97
HIP 37504,115.4549835,-72.60613528,K0III, 3.93
HIP 44599,136.286793,-72.60269387,F6II-III, 4.47
HIP 61199,188.117129,-72.1329759,B5V, 3.84
HIP 51438,157.5836462,-71.99271995,A2III, 4.72
HIP 63613,195.5657397,-71.54879865,K2III, 3.61
HIP 91792,280.758891,-71.42772867,K2III, 4.01
HIP 44626,136.4099252,-70.53852074,B2IVe, 4.66
HIP 34481,107.1867688,-70.49919435,G8IIIvar, 3.78
HIP 57696,177.4859461,-70.2257858,G5Ib, 4.98
HIP 80686,247.1158385,-70.08467012,F9V, 4.90
HIP 50099,153.4344955,-70.03792169,B8III, 3.29
HIP 45238,138.3010033,-69.71747245,A2IV, 1.67
HIP 61585,189.2961821,-69.13553358,B2IV-V, 2.69
HIP 82273,252.1661074,-69.02763503,K2IIb-IIIa, 1.91
HIP 5896,18.93956391,-68.87623708,F6IV, 4.25
HIP 74946,229.7278701,-68.67946723,A1V, 2.87
HIP 11001,35.43759585,-68.6594239,A3V, 4.08
HIP 39794,121.98267,-68.61713647,B6IV, 4.35
HIP 12394,39.8967653,-68.2669476,B9III, 4.12
HIP 62322,191.5702901,-68.10809405,B2V, 3.04
HIP 59929,184.394318,-67.96067161,M5III, 4.06
HIP 35228,109.2076284,-67.95717248,F6II, 3.97
HIP 64661,198.8124908,-67.8945633,B8V, 4.79
HIP 84969,260.4980616,-67.7706496,K1III, 4.76
HIP 8928,28.73339519,-67.64748114,G5III, 4.68
HIP 12876,41.38555249,-67.616724,A2IV/V, 4.83
HIP 93015,284.2376694,-67.23353511,F5Ib-II:, 4.40
HIP 24372,78.43927858,-67.18534976,K2III, 4.81
HIP 50847,155.7424136,-66.90152522,B8V, 4.97
HIP 57581,177.0603726,-66.81487085,K4III, 4.75
HIP 64820,199.3043125,-66.78342263,K2Ib/II, 4.86
HIP 57363,176.4023639,-66.72884344,A7III, 3.63
HIP 1599,5.00797581,-64.8776232,F9V, 4.23
HIP 44382,135.6116618,-66.39584369,Am, 4.00
HIP 76440,234.1799454,-66.31690469,K0III, 4.11
HIP 102395,311.2398153,-66.20323826,A5IV, 3.42
HIP 99240,302.1744171,-66.17932101,G5IV-Vvar, 3.55
HIP 41312,126.4343594,-66.13652042,K2IIIvar, 3.77
HIP 27100,86.19341279,-65.7355408,A7V, 4.34
HIP 118322,359.978792,-65.57707774,B9IV, 4.49
HIP 105858,321.6103839,-65.36814438,F6V, 4.21
HIP 57851,177.963637,-65.20589445,B4V, 4.89
HIP 48002,146.7755734,-65.07201888,A9, 2.92
HIP 71908,220.6278543,-64.97456957,F1Vp, 3.18
HIP 110838,336.8328045,-64.96637927,B8V, 4.51
HIP 92024,281.3619008,-64.87089771,A7V, 4.78
HIP 17440,56.04814541,-64.80709398,K0IV SB, 3.84
HIP 86929,266.4333435,-64.7237345,K1III, 3.61
HIP 59072,181.7202202,-64.61363898,F2III, 4.14
HIP 65387,201.0018474,-64.53561699,G5III-IV, 4.52
HIP 52370,160.5589334,-64.4664538,B3V, 4.76
HIP 52419,160.739278,-64.39447937,B0Vp, 2.74
HIP 52736,161.7135174,-64.38349702,B3IV, 4.87
HIP 13884,44.69902505,-64.07129717,A5III, 4.98
HIP 60009,184.609553,-64.00304555,B2.5V, 4.06
HIP 52502,161.0289048,-63.9611007,B5Vn, 4.80
HIP 57669,177.4212002,-63.78848906,B3V, 4.30
HIP 68191,209.4122368,-63.68661603,K4III, 4.71
HIP 79664,243.8594423,-63.68564897,G5II, 3.86
HIP 88866,272.1449619,-63.66804844,Am, 4.33
HIP 74837,229.4120326,-63.61048662,K2.5III, 4.85
HIP 39138,120.0832051,-63.56750271,B3V, 4.81
HIP 77952,238.7867001,-63.42974973,F2III, 2.83
HIP 58758,180.7570797,-63.31294495,Am, 4.32
HIP 58867,181.0801573,-63.16571094,B2IV, 4.72
HIP 60718,186.6497559,-63.09905586,B0.5IV, 0.77
HIP 27890,88.52458376,-63.09102096,K1III/IV, 4.65
HIP 56561,173.9455345,-63.01982488,B9II:, 3.11
HIP 2487,7.88898014,-62.96544985,A2V, 4.53
HIP 2484,7.88566992,-62.95808549,B9V, 4.36
HIP 16245,52.34244352,-62.93843436,F5IV-V, 4.71
HIP 47854,146.3117815,-62.50792328,G5Iab/Ib, 3.69
HIP 26069,83.40631813,-62.48985585,F6Ia, 3.76
HIP 19780,63.60596306,-62.47397888,G7III, 3.33
HIP 54301,166.6353096,-62.42413654,G8III, 4.62
HIP 45856,140.236793,-62.40463293,G6III, 4.79
HIP 45101,137.8198661,-62.31701587,B3IV, 3.96
HIP 90797,277.8434439,-62.27819116,B8III, 4.63
HIP 92609,283.0543189,-62.18756062,B2II-III, 4.22
HIP 18744,60.2241876,-62.15936923,M4III, 4.48
HIP 56986,175.2235527,-62.09010401,G3Ib, 4.93
HIP 111310,338.2500526,-61.982073,M4III, 4.91
HIP 32607,102.0480713,-61.94197988,A7IV, 3.24
HIP 51576,158.0061825,-61.68536031,B4Vne, 3.30
HIP 9236,29.69113269,-61.56992444,F0V, 2.86
