name,ra,dec,spect_type,vmag
HIP 104382,317.1917255,-88.9565112,F0III, 5.45
HIP 75736,232.0861835,-88.13281448,Am, 6.49
HIP 92824,283.698535,-87.60551487,K3III, 5.29
HIP 115836,352.0148612,-87.48224182,K2III, 5.50
HIP 32500,101.7438322,-87.02497454,F3V, 6.46
HIP 83255,255.2435082,-86.36429709,A2V, 6.05
HIP 60638,186.4094909,-86.15059684,K0III, 6.32
HIP 111196,337.9076162,-85.96740206,K0III, 5.76
HIP 66753,205.2340637,-85.78599228,A2m..., 5.56
HIP 43908,134.1745136,-85.66323432,F0III, 5.43
HIP 58697,180.5861505,-85.63176087,K3III, 6.05
HIP 17328,55.63620779,-85.26202284,B9V, 6.40
HIP 88274,270.3925384,-85.21447624,F4V, 6.45
HIP 63031,193.7431157,-85.12342237,K0III, 5.45
HIP 1074,3.3314522,-84.99402068,M0/M1III, 5.78
HIP 106320,323.0119281,-84.80999675,K3III, 6.42
HIP 74296,227.7866406,-84.78782184,B9.5V, 5.88
HIP 25776,82.55804936,-84.78521152,A1V, 6.18
HIP 7568,24.3657494,-84.76965017,K0III, 5.66
HIP 53702,164.8090195,-84.59387348,A1V, 6.19
HIP 76996,235.8170866,-84.46550807,A2V, 5.57
HIP 90509,277.026443,-84.38723353,B8/B9V, 6.49
HIP 70638,216.7322531,-83.66785308,K2III, 4.31
HIP 93117,284.5417886,-83.42216671,B9/B9.5V, 6.35
HIP 100697,306.2283402,-83.31063455,A2/A3m..., 6.15
HIP 73540,225.461268,-83.22777573,G8/K0III, 5.65
HIP 56996,175.2566544,-83.09996178,K0III, 6.32
HIP 73771,226.1956796,-83.03826851,G8Ib, 5.65
HIP 7601,24.47908355,-82.97528876,G2V, 5.88
HIP 70418,216.0924058,-82.84822332,B8V, 6.42
HIP 107843,327.7260356,-82.71882392,G8/K0III+.., 5.27
HIP 106474,323.4769655,-82.68307834,B3IV, 6.35
HIP 68009,208.9124541,-82.66613365,K2/K3III:p, 5.95
HIP 23148,74.71244667,-82.47052255,G8III, 5.84
HIP 814,2.50945435,-82.22399743,K1/K2III, 5.29
HIP 49065,150.1829356,-82.21474569,A0IV, 5.53
HIP 118114,359.3874541,-82.16974335,K0III, 5.72
HIP 117689,358.027891,-82.01876765,G7III, 5.10
HIP 91723,280.5598388,-81.80807287,B8V, 6.27
HIP 20297,65.24179812,-81.58022679,F0/F2III, 5.78
HIP 88599,271.3614307,-81.48644851,K3/K4III, 6.37
HIP 112405,341.5155139,-81.38161731,A9IV/V, 4.13
HIP 98086,299.0067525,-81.34983861,K3/K4III, 6.39
HIP 101843,309.5775207,-81.28897011,K5III, 5.89
HIP 69896,214.5582105,-81.00760147,A2m..., 4.89
HIP 101427,308.3233866,-80.96482633,G6/G8II, 5.76
HIP 46928,143.4729383,-80.94129374,B5V, 5.07
HIP 41191,126.0849251,-80.91471955,G8III, 5.67
HIP 114550,348.0517949,-80.91267194,K4III, 6.43
HIP 85760,262.8644714,-80.85902834,M3III, 5.83
HIP 31897,100.0121195,-80.81372235,A5III, 5.61
HIP 46107,141.0405393,-80.78720514,F3/F5IV, 5.34
HIP 52633,161.446399,-80.54020283,B2.5IV, 4.45
HIP 26394,84.28663598,-80.4716745,G3IV, 5.65
HIP 52595,161.3182296,-80.4695233,K0III, 5.46
HIP 110256,335.0061676,-80.43964301,M6III, 5.09
HIP 90606,277.3334205,-80.23255408,K2III, 5.95
HIP 20049,64.49656949,-80.21418106,K2/K3III+.., 5.67
HIP 8366,26.94453905,-80.17616913,F0III, 6.05
HIP 112781,342.5947752,-80.12381446,B6IV, 5.32
HIP 70248,215.5966542,-80.108911,B4V, 5.06
HIP 48320,147.7533346,-80.06109591,B8IV, 6.47
HIP 106424,323.3377859,-80.03930788,A0V, 6.47
HIP 64951,199.7014039,-79.97596131,B9.5/A0V, 6.34
HIP 52340,160.4649004,-79.78330226,B5IV, 5.97
